date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2005/03/11,99.93,99.93,100.13,131140.0,131173768.0,100.04
2005/03/14,100.1,100.1,100.49,22532.0,22596192.0,100.3
2005/03/15,100.33,100.39,100.81,50995.0,51267812.0,100.81
2005/03/16,100.82,100.82,101.6,12472.0,12628037.0,101.06
2005/03/17,101.15,101.2,102.5,21167.0,21559612.0,101.88
2005/03/18,101.8,101.88,102.34,19749.0,20165344.0,101.99
2005/03/21,101.53,101.98,102.09,6259.0,6366763.0,101.67
2005/03/22,101.58,101.58,101.8,4276.0,4348347.0,101.7
2005/03/23,101.22,101.7,101.7,6130.0,6218191.0,101.32
2005/03/24,101.1,101.34,101.34,6429.0,6507431.0,101.22
2005/03/25,101.12,101.12,101.51,2232.0,2263370.0,101.5
2005/03/28,101.35,101.5,101.52,4359.0,4419597.0,101.45
2005/03/29,101.4,101.5,101.54,4207.0,4269447.0,101.52
2005/03/30,101.46,101.55,101.58,5756.0,5842268.0,101.5
2005/03/31,101.35,101.52,101.52,3490.0,3539295.0,101.38
2005/04/01,101.25,101.38,101.4,3978.0,4029799.0,101.29
2005/04/04,101.25,101.28,101.37,1543.0,1563000.0,101.36
2005/04/05,101.38,101.38,101.55,2294.0,2328638.0,101.53
2005/04/06,101.53,101.53,101.64,3114.0,3163975.0,101.64
2005/04/07,101.45,101.61,101.64,25636.0,26026044.0,101.55
2005/04/08,101.55,101.55,102.1,10164.0,10354025.0,101.93
2005/04/11,101.8,101.92,101.99,3508.0,3575224.0,101.96
2005/04/12,102.0,102.0,102.36,10046.0,10269403.0,102.32
2005/04/13,102.14,102.33,102.45,4206.0,4300874.0,102.29
2005/04/14,102.22,102.22,103.0,10419.0,10694164.0,102.65
2005/04/15,102.6,102.73,102.98,13624.0,13995246.0,102.72
2005/04/18,102.48,102.73,102.75,5984.0,6139472.0,102.52
2005/04/19,102.42,102.55,102.59,25189.0,25808554.0,102.42
2005/04/20,102.4,102.42,102.58,24240.0,24831150.0,102.45
2005/04/21,102.28,102.43,102.51,12303.0,12601722.0,102.28
2005/04/22,101.75,102.28,102.28,7732.0,7879507.0,101.93
2005/04/25,101.53,101.76,102.4,4676.0,4778626.0,102.35
2005/04/26,102.36,102.36,102.73,3360.0,3445287.0,102.7
2005/04/27,102.41,102.7,102.75,8203.0,8421080.0,102.66
2005/04/28,102.6,102.68,102.73,1557.0,1598818.0,102.73
2005/04/29,102.68,102.7,102.9,3734.0,3839321.0,102.9
2005/05/09,102.67,102.8,102.8,2745.0,2819643.0,102.73
2005/05/10,102.73,102.78,102.92,6533.0,6720821.0,102.89
2005/05/11,102.85,102.9,103.2,5060.0,5213413.0,103.09
2005/05/12,103.12,103.15,103.4,5252.0,5424803.0,103.35
