date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2000/01/04,1446.228,1451.9,1495.725,4193621.0,5072123392.0,1493.095
2000/01/05,1485.993,1496.06,1523.662,6542197.0,7920281304.0,1495.97
2000/01/06,1488.258,1494.138,1553.575,7654180.0,9160913048.0,1553.532
2000/01/07,1555.946,1555.946,1618.296,15343834.0,19087210464.0,1609.769
2000/01/10,1601.188,1611.806,1644.089,14533538.0,18491805696.0,1641.045
2000/01/11,1561.5,1642.528,1645.281,12477338.0,15488649216.0,1571.193
2000/01/12,1525.271,1566.386,1582.922,10955909.0,12425121888.0,1525.951
2000/01/13,1508.124,1527.751,1534.841,6072727.0,7254613056.0,1511.136
2000/01/14,1489.708,1513.882,1523.474,505086144.0,6138601984.0,1495.079
2000/01/17,1490.669,1497.42,1522.541,510269496.0,6077287112.0,1520.554
2000/01/18,1511.07,1527.336,1534.394,578513805.0,6847356720.0,1514.872
2000/01/19,1515.262,1516.34,1534.302,510458720.0,6280657080.0,1528.789
2000/01/20,1531.216,1531.216,1555.826,673334464.0,8590228480.0,1555.826
2000/01/21,1550.702,1559.172,1569.24,1031450752.0,13616031744.0,1555.822
2000/01/24,1541.005,1558.145,1568.16,1100001120.0,14400693920.0,1568.16
2000/01/25,1560.085,1570.64,1584.6,1000925885.0,13137879552.0,1567.799
2000/01/26,1562.677,1570.57,1575.911,740128826.0,9422917056.0,1572.91
2000/01/27,1578.943,1584.51,1601.705,1142869078.0,15674601344.0,1599.793
2000/01/28,1605.771,1609.934,1632.811,1450924504.0,20280468288.0,1628.96
2000/02/14,1688.022,1692.073,1779.828,42910216.0,25902499968.0,1779.707
2000/02/15,1769.091,1817.552,1857.121,51817234.0,37739399680.0,1776.757
2000/02/16,1754.926,1781.333,1803.463,2329965568.0,33912707072.0,1801.046
2000/02/17,1719.251,1801.046,1883.814,3240168970.0,46778769408.0,1742.905
2000/02/18,1684.456,1727.466,1771.238,1778989444.0,25158869248.0,1771.238
2000/02/21,1758.242,1788.752,1805.572,2182783368.0,31761923712.0,1781.098
2000/02/22,1731.847,1788.921,1795.508,1792702452.0,25460547776.0,1732.619
2000/02/23,1688.359,1721.476,1734.816,1307486100.0,18097433312.0,1693.944
2000/02/24,1695.879,1695.879,1734.919,1008136256.0,14336741664.0,1734.919
2000/02/25,1721.996,1745.019,1756.102,1238921760.0,18017970688.0,1732.211
2000/02/28,1745.066,1745.066,1814.713,16185359.54,23796567232.0,1811.594
2000/02/29,1786.973,1839.755,1844.87,20945796.37,31311073216.0,1821.742
2000/03/01,1801.488,1831.528,1831.528,16646683.97,23092054656.0,1806.209
2000/03/02,1791.157,1806.859,1832.376,14152406.54,19708612896.0,1816.276
2000/03/03,1833.422,1839.984,1863.619,17773514.57,24976238912.0,1848.043
2000/03/06,1787.872,1870.154,1876.532,18698158.51,25833289408.0,1787.872
2000/03/07,1761.249,1769.28,1800.386,12540629.1,16028680768.0,1800.386
2000/03/08,1799.453,1809.481,1834.993,12354316.7,16767745152.0,1834.895
2000/03/09,1826.155,1847.19,1854.031,13073757.58,18107733600.0,1840.074
2000/03/10,1812.07,1844.175,1856.136,11529767.41,15971337216.0,1813.412
2000/03/13,1815.35,1815.35,1839.387,9309761.01,12579737600.0,1837.9
2000/03/14,1742.708,1799.815,1810.152,13866389.45,18198615040.0,1792.091
2000/03/15,1785.021,1788.855,1804.766,11816300.32,15288531968.0,1786.314
2000/03/16,1699.28,1779.02,1779.02,11370806.68,13314677568.0,1708.678
2000/03/17,1705.632,1705.632,1768.91,10245642.9,13559888960.0,1763.961
2000/03/20,1748.711,1765.286,1807.698,14390358.27,16959935232.0,1807.663
2000/03/21,1802.177,1814.224,1823.968,13468113.98,17203651392.0,1818.876
2000/03/22,1820.972,1820.972,1838.085,11771913.0,16616035328.0,1829.298
2000/03/23,1822.209,1831.736,1856.29,12664301.01,17005410304.0,1856.29
2000/03/24,1842.027,1874.67,1883.814,16556432.83,21951580544.0,1842.027
2000/03/27,1848.254,1848.254,1884.621,15043098.39,19529693888.0,1884.14
2000/03/28,1888.158,1889.534,1914.83,21479627.0,22303300608.0,1901.199
2000/03/29,1876.922,1913.082,1919.436,15013127.45,18608391264.0,1899.935
2000/03/30,1903.561,1903.561,1923.695,13930006.26,17500487680.0,1923.695
2000/03/31,1894.725,1926.725,1926.725,14462561.97,18075766720.0,1913.883
2000/04/03,1914.593,1915.601,1932.869,18073042.0,18185970688.0,1915.964
2000/04/04,1868.413,1909.943,1909.943,16645095.0,15355909984.0,1870.844
2000/04/05,1858.05,1868.567,1890.147,13077949.0,12528489808.0,1880.832
2000/04/06,1884.599,1884.599,1922.207,14613494.0,14723590144.0,1922.207
2000/04/07,1923.473,1933.184,1939.059,15426561.0,15668260384.0,1933.462
2000/04/10,1932.385,1936.51,1948.909,13489495.01,16007399424.0,1941.42
2000/04/11,1928.253,1943.19,1945.202,10952560.03,14096406528.0,1935.822
2000/04/12,1899.765,1939.163,1940.639,9972060.38,12464651328.0,1920.526
2000/04/13,1923.67,1923.67,1949.341,13199344.41,14753108800.0,1947.21
2000/04/14,1937.411,1948.794,1958.008,14534811.01,16534029312.0,1948.386
2000/04/17,1893.291,1948.152,1948.152,14375666.82,17544193344.0,1909.619
2000/04/18,1893.353,1909.599,1929.87,10223993.8,12228056512.0,1927.052
2000/04/19,1934.039,1935.873,1949.016,10524114.24,13151359808.0,1944.364
2000/04/20,1946.192,1946.192,1966.165,16175361.0,16766600192.0,1963.601
2000/04/21,1952.673,1970.416,1977.294,13903641.0,16649810144.0,1955.157
2000/04/24,1944.043,1963.067,1967.352,12152799.42,15187905440.0,1951.924
2000/04/25,1931.905,1955.588,1959.572,8807860.62,10808303904.0,1947.461
2000/04/26,1943.48,1953.183,1960.802,8263179.47,10263705536.0,1947.517
2000/04/27,1919.077,1950.051,1958.224,9299206.02,11963359232.0,1919.363
2000/04/28,1912.751,1920.95,1950.95,8008011.21,10930803952.0,1949.901
2000/05/08,1945.162,1966.575,1971.268,6517001.91,9127272032.0,1952.944
2000/05/09,1915.446,1954.492,1957.09,6900943.03,9334303744.0,1921.398
2000/05/10,1862.143,1917.077,1917.077,6687685.69,8292706160.0,1862.543
2000/05/11,1828.767,1862.925,1874.989,6391513.1,7865252112.0,1831.493
2000/05/12,1824.625,1836.179,1852.313,5817463.72,6998193752.0,1828.128
2000/05/15,1803.632,1832.659,1836.986,5320606.4,6571279856.0,1811.962
2000/05/16,1815.502,1815.502,1835.974,4066730.93,5229012976.0,1833.416
2000/05/17,1832.642,1834.345,1847.022,4184345.06,5340644856.0,1834.411
2000/05/18,1829.554,1835.606,1869.71,6053967.61,7787670080.0,1869.71
2000/05/19,1866.889,1870.745,1890.891,7821796.53,10078912512.0,1890.481
2000/05/22,1891.375,1891.375,1947.563,11566077.01,15104055296.0,1938.892
2000/05/23,1927.075,1941.13,1953.817,9068558.02,10857334768.0,1941.614
2000/05/24,1948.928,1948.928,1979.2,13167208.5,16135938560.0,1971.412
2000/05/25,1973.139,1973.139,1999.339,16025195.0,18320730112.0,1997.282
2000/05/26,1988.817,2000.079,2010.41,14250581.0,13113516032.0,1999.121
2000/05/29,2001.653,2005.08,2019.878,14867638.54,18468904512.0,2016.95
2000/05/30,1986.02,2022.879,2027.618,13501699.95,16406633792.0,1994.5
2000/05/31,1986.804,1993.203,2010.874,12260169.3,15785341408.0,2010.874
2000/06/01,2007.148,2018.436,2024.896,11762055.91,14939200832.0,2018.772
2000/06/02,2015.039,2021.135,2032.973,14426300.01,17053376512.0,2032.973
2000/06/05,2007.36,2040.883,2049.357,18523371.62,20999050176.0,2015.344
2000/06/06,2009.499,2017.361,2044.447,16229709.51,16364148480.0,2043.726
2000/06/07,2040.852,2055.067,2060.804,12361907.48,15513021376.0,2053.817
2000/06/08,2033.14,2055.242,2058.188,11981705.45,14993278848.0,2043.617
2000/06/09,2015.452,2046.689,2050.656,11457847.45,13919095008.0,2018.35
2000/06/12,2002.975,2015.402,2031.49,9789767.01,12206405248.0,2030.271
2000/06/13,2037.061,2038.331,2056.252,10862543.46,13465448768.0,2056.252
2000/06/14,2049.945,2065.27,2069.631,13055891.14,15512670272.0,2050.351
2000/06/15,2045.836,2053.239,2060.736,10763293.73,13761052256.0,2060.736
2000/06/16,2038.67,2066.715,2068.583,11086172.69,14169418304.0,2045.372
2000/06/19,2029.37,2044.196,2046.565,9295089.61,11700933376.0,2031.986
2000/06/20,2006.105,2031.997,2032.013,7508475.41,9436917632.0,2012.061
2000/06/21,2013.525,2013.525,2031.518,7134227.75,8738982144.0,2031.518
2000/06/22,2025.175,2037.672,2040.772,6750816.72,9370066688.0,2031.101
2000/06/23,2033.062,2033.178,2059.062,9430480.34,12535923392.0,2058.338
2000/06/26,2060.306,2060.306,2074.614,11215064.38,13895786880.0,2068.287
2000/06/27,2058.374,2069.564,2073.239,10747500.5,11565326336.0,2061.13
2000/06/28,2060.64,2064.538,2074.112,9149752.46,11911145568.0,2067.145
2000/06/29,2044.125,2070.917,2072.027,9263435.07,12024005984.0,2055.99
2000/06/30,2044.606,2058.229,2061.765,9591062.41,12356426944.0,2046.156
2000/07/03,2007.993,2047.697,2047.697,9529859.14,11724519424.0,2011.99
2000/07/04,2005.437,2008.551,2024.447,6475935.3,8365621744.0,2024.447
2000/07/05,2022.596,2026.4,2037.866,5956989.03,7869908992.0,2025.845
2000/07/06,2014.687,2027.676,2028.348,6159688.43,8510856816.0,2019.12
2000/07/07,2022.516,2022.516,2051.496,10309980.5,10629236992.0,2051.496
2000/07/10,2053.364,2059.613,2067.84,14080730.33,14030580832.0,2067.84
2000/07/11,2069.208,2073.932,2081.498,13930295.76,14375880896.0,2081.498
2000/07/12,2082.864,2082.88,2097.57,12697793.5,14840238080.0,2094.382
2000/07/13,2085.795,2101.979,2107.665,14357721.76,18944786592.0,2100.171
2000/07/14,2095.271,2104.832,2109.695,15509951.44,16346370304.0,2107.882
2000/07/17,2103.245,2116.699,2121.628,16218125.5,15734210688.0,2103.707
2000/07/18,2104.632,2105.201,2115.446,14478704.02,11557501440.0,2115.446
2000/07/19,2110.928,2124.307,2128.64,9150211.73,12340662080.0,2121.304
2000/07/20,2103.068,2122.471,2128.129,13721849.5,13264876032.0,2113.45
2000/07/21,2115.21,2115.21,2122.111,7875675.76,10428169216.0,2117.685
2000/07/24,2105.89,2120.077,2120.077,11508934.0,11583110144.0,2111.138
2000/07/25,2112.436,2113.458,2120.988,10332463.0,11025600064.0,2118.287
2000/07/26,2123.016,2123.016,2134.622,10083900.75,11418203136.0,2134.622
2000/07/27,2128.134,2141.826,2149.32,11063106.17,14337973600.0,2134.737
2000/07/28,2129.941,2138.184,2141.228,9884598.84,12960012832.0,2135.031
2000/07/31,2132.417,2136.809,2146.32,11518041.11,15090745792.0,2145.628
2000/08/01,2148.034,2148.034,2156.856,20514470.0,12559278080.0,2151.571
2000/08/02,2142.738,2153.056,2158.256,11263864.63,11186152448.0,2153.66
2000/08/03,2154.867,2157.821,2163.318,9998866.94,12831305376.0,2158.772
2000/08/04,2136.786,2162.158,2166.136,12088414.51,14188452160.0,2148.966
2000/08/07,2141.276,2150.188,2159.624,12087221.0,12817617920.0,2159.624
2000/08/08,2163.04,2163.04,2172.108,12062758.0,13223497744.0,2172.09
2000/08/09,2172.434,2173.704,2184.354,10611310.01,15181561856.0,2184.354
2000/08/10,2178.564,2190.39,2192.847,12117636.55,17419470336.0,2189.773
2000/08/11,2179.403,2193.248,2195.377,10176486.46,14984720256.0,2186.727
2000/08/14,2190.637,2190.637,2198.547,9420765.82,13253413152.0,2198.547
2000/08/15,2190.181,2203.336,2206.789,8710593.92,12193769568.0,2200.314
2000/08/16,2197.182,2202.892,2206.797,9301866.62,12934429712.0,2206.007
2000/08/17,2207.847,2207.847,2216.614,9501749.02,13215419376.0,2214.173
2000/08/18,2210.61,2218.017,2221.657,8799705.48,12254246464.0,2211.485
2000/08/21,2213.797,2213.797,2230.661,12856108.51,15917951488.0,2230.661
2000/08/22,2198.903,2231.968,2237.355,10777366.0,14742696960.0,2198.903
2000/08/23,2098.619,2196.798,2203.054,16509472.0,22136262656.0,2179.559
2000/08/24,2165.88,2181.999,2197.603,11401924.29,16145108032.0,2192.759
2000/08/25,2190.047,2197.702,2209.734,8731277.63,12854642784.0,2209.734
