date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2005/01/06,971.733,986.23,986.741,942208.0,581597696.0,976.057
2005/01/07,972.698,975.656,989.122,928986.0,580349952.0,982.918
2005/01/10,976.527,981.195,989.185,758067.0,470255264.0,988.166
2005/01/11,985.908,988.161,994.363,736369.0,460814400.0,989.988
2005/01/12,982.947,990.374,990.374,626372.0,367557440.0,988.353
2005/01/13,983.985,988.171,991.428,744063.0,452453248.0,988.504
2005/01/14,981.441,988.899,1000.782,881003.0,518093984.0,983.534
2005/01/17,958.298,976.16,977.884,1129481.0,686559040.0,959.567
2005/01/18,950.803,958.512,966.033,1243110.0,650845632.0,964.722
2005/01/19,956.66,963.995,964.035,879028.0,475270720.0,959.127
2005/01/20,947.172,954.306,957.664,1193977.0,655045888.0,952.423
2005/01/21,946.827,950.689,982.416,2031496.0,1152699904.0,980.389
2005/01/24,982.981,996.593,1002.525,1983214.0,1143463168.0,995.501
2005/01/25,983.92,992.588,1000.898,1386911.0,844967296.0,1000.481
2005/01/26,990.411,999.074,1000.839,950406.0,582024576.0,992.152
2005/01/27,977.269,990.975,991.122,922011.0,536949440.0,979.558
2005/01/28,968.615,977.585,979.193,817456.0,487033056.0,971.96
2005/01/31,961.294,970.078,973.758,981250.0,579592064.0,962.9
2005/02/01,960.114,961.187,973.954,1023580.0,628711936.0,965.282
2005/02/02,965.793,965.793,1015.717,2759483.0,1650364160.0,1015.563
2005/02/03,1001.281,1015.58,1027.055,3077758.0,1900820352.0,1009.4
2005/02/04,1004.065,1007.228,1037.322,3092925.0,1901395328.0,1032.173
2005/02/16,1031.534,1038.294,1049.45,2351869.0,1442907776.0,1039.818
2005/02/17,1024.59,1040.276,1040.276,1407625.0,885688128.0,1032.372
2005/02/18,1016.666,1031.528,1034.52,1325089.0,809628352.0,1016.994
2005/02/21,1016.928,1016.928,1037.689,1480492.0,917209088.0,1037.464
2005/02/22,1034.311,1037.928,1057.59,2784886.0,1749618560.0,1054.066
2005/02/23,1043.415,1054.258,1058.383,3077228.0,1974103168.0,1052.909
2005/02/24,1040.309,1051.069,1053.295,2698920.0,1719058816.0,1052.304
2005/02/25,1051.963,1054.591,1066.009,3014024.0,1941654400.0,1052.356
2005/02/28,1038.491,1050.817,1054.832,2139450.0,1387079296.0,1044.448
2005/03/01,1035.903,1044.151,1045.841,1517379.0,1023882176.0,1038.291
2005/03/02,1018.766,1038.578,1045.369,2581056.0,1672757248.0,1019.315
2005/03/03,1012.867,1016.942,1028.571,1544736.0,934168768.0,1027.63
2005/03/04,1019.621,1027.91,1030.513,1179841.0,752791168.0,1021.305
2005/03/07,1019.208,1022.06,1027.488,1324349.0,848434496.0,1025.32
2005/03/08,1027.409,1028.455,1042.4,2184344.0,1440023680.0,1042.22
2005/03/09,1037.983,1044.418,1049.244,2321383.0,1580897536.0,1044.422
2005/03/10,1017.949,1044.324,1044.606,1812663.0,1223911424.0,1019.438
2005/03/11,1014.071,1017.636,1024.898,1747888.0,1191433343.0,1023.994
2005/03/14,1012.245,1024.122,1038.814,2160405.0,1587904512.0,1028.625
2005/03/15,1006.022,1028.53,1029.199,1898804.0,1316264448.0,1007.429
2005/03/16,992.193,1005.814,1007.734,1572794.0,1060092352.0,1000.251
2005/03/17,985.078,1000.601,1000.601,1404613.0,936040768.0,986.174
2005/03/18,974.327,985.726,988.769,1525430.0,985095808.0,975.696
2005/03/21,974.458,975.999,982.673,1249827.0,791474880.0,980.707
2005/03/22,965.858,979.851,981.358,1711776.0,1055287488.0,968.313
2005/03/23,956.381,967.419,973.388,1633801.0,1014229632.0,959.876
2005/03/24,952.368,959.322,968.212,1171260.0,735356672.0,967.407
2005/03/25,961.148,967.022,970.815,1004720.0,576012800.0,965.416
2005/03/28,953.74,965.172,965.629,943424.0,550555648.0,964.941
2005/03/29,959.594,964.864,971.613,1002095.0,596681280.0,960.126
2005/03/30,946.018,958.342,958.342,1207170.0,708214336.0,947.264
2005/03/31,935.056,943.552,951.243,1286366.0,665285632.0,951.063
2005/04/01,945.257,950.04,994.464,2736269.0,1555147904.0,982.742
2005/04/04,963.326,974.313,978.914,1732833.0,1096992640.0,963.604
2005/04/05,951.389,960.45,968.402,1402067.0,836090496.0,952.705
2005/04/06,946.078,951.883,970.654,2114376.0,1289264640.0,964.733
2005/04/07,961.942,966.194,987.637,3040476.0,1800777344.0,971.149
2005/04/08,965.228,971.355,989.458,1861986.0,1167731200.0,989.072
2005/04/11,979.66,989.18,992.241,2481078.0,1472842752.0,983.877
2005/04/12,969.902,980.804,981.624,1413753.0,817044928.0,970.752
2005/04/13,980.389,980.389,999.669,2898661.0,1664064768.0,995.041
2005/04/14,987.48,1000.736,1002.415,2100943.0,1207616128.0,988.564
2005/04/15,974.737,985.85,985.85,1835360.0,1110772224.0,977.553
2005/04/18,958.885,974.919,976.078,1719975.0,974755520.0,963.623
2005/04/19,955.514,962.317,967.992,1916010.0,1165593472.0,961.523
2005/04/20,948.032,960.815,961.172,1171540.0,678309952.0,955.561
2005/04/21,942.282,954.368,957.707,1218284.0,724771328.0,947.14
2005/04/22,942.433,945.348,952.14,1263427.0,722642304.0,947.879
2005/04/25,932.042,946.4,946.4,1387511.0,774217024.0,939.673
2005/04/26,933.498,938.468,948.008,1359922.0,774164480.0,942.135
2005/04/27,919.803,931.545,934.003,2205357.0,1184086144.0,920.384
2005/04/28,906.38,915.616,929.705,2438932.0,1322785024.0,926.343
2005/04/29,913.861,925.536,927.126,1540480.0,849324864.0,916.095
2005/05/09,898.456,916.63,922.837,1698248.0,937661312.0,898.543
2005/05/10,887.316,897.284,904.789,1416035.0,801136449.0,904.663
2005/05/11,895.659,903.608,909.182,1178456.0,606288000.0,896.517
2005/05/12,872.071,895.426,896.035,2166516.0,1097052160.0,873.193
2005/05/13,861.84,871.816,887.178,2671703.0,1203468160.0,869.601
2005/05/16,850.265,868.108,868.108,1530251.0,690183360.0,859.829
2005/05/17,852.39,857.462,872.808,1566458.0,737293504.0,863.854
2005/05/18,855.526,863.864,871.391,1123949.0,580234624.0,864.976
2005/05/19,850.104,864.532,868.181,1776147.0,786580416.0,864.097
2005/05/20,858.278,863.156,870.401,1174088.0,560646272.0,863.706
2005/05/23,839.107,860.591,860.591,1300212.0,604228736.0,839.164
2005/05/24,822.651,836.676,841.704,2023647.0,913188672.0,838.402
2005/05/25,832.189,837.819,845.546,1158584.0,549048704.0,837.352
2005/05/26,828.99,836.614,843.174,1097803.0,491836992.0,830.965
2005/05/27,824.282,829.344,838.03,1231148.0,562397760.0,825.848
2005/05/30,819.362,824.564,834.792,1159401.0,534731584.0,831.888
2005/05/31,832.276,834.248,842.878,1373050.0,609084352.0,834.569
2005/06/01,819.144,834.458,841.645,1262381.0,581976064.0,820.326
2005/06/02,796.233,818.742,819.204,1791360.0,832474944.0,802.81
2005/06/03,788.284,800.627,803.958,1198771.0,536104832.0,797.74
2005/06/06,784.763,795.235,814.068,1462738.0,639822016.0,813.7
2005/06/07,809.726,816.43,831.211,1930701.0,896154624.0,810.672
2005/06/08,818.903,826.077,882.351,5609305.0,2718000896.0,879.31
2005/06/09,867.044,881.298,903.458,5688337.0,2794290944.0,885.822
2005/06/10,868.501,885.889,885.889,3449210.0,1704155520.0,875.212
2005/06/13,846.229,862.66,867.191,2715884.0,1322203008.0,859.38
2005/06/14,857.733,861.183,877.641,2645272.0,1344177536.0,858.403
2005/06/15,847.064,855.665,860.334,1994660.0,1042008128.0,851.182
2005/06/16,845.634,850.685,863.935,2011350.0,1041274497.0,863.349
2005/06/17,867.048,870.543,878.762,3375608.0,1743876864.0,872.519
2005/06/20,865.424,873.614,885.973,2445338.0,1133967872.0,885.675
2005/06/21,877.219,886.474,886.474,1853948.0,819093120.0,878.801
2005/06/22,870.468,876.12,877.445,1306497.0,559185024.0,875.11
2005/06/23,869.814,874.997,877.469,1293597.0,554422272.0,870.203
2005/06/24,867.529,869.945,875.753,1300451.0,542817536.0,875.614
2005/06/27,879.058,879.058,890.16,2501050.0,1095252608.0,888.173
2005/06/28,878.653,885.687,885.687,1501878.0,638908288.0,880.356
2005/06/29,882.558,896.516,896.516,3235817.0,1578723584.0,883.65
2005/06/30,865.63,882.437,882.437,1862398.0,816314240.0,866.569
2005/07/01,858.684,864.502,869.989,1690798.0,747085952.0,860.503
2005/07/04,845.656,856.674,856.674,1610882.0,671426496.0,855.506
2005/07/05,838.049,847.576,849.086,1340441.0,706886144.0,843.825
2005/07/06,834.814,845.074,847.323,1102652.0,513810656.0,837.606
2005/07/07,835.198,837.105,846.411,973852.0,417769056.0,842.624
2005/07/08,827.233,841.241,841.241,1174611.0,525632032.0,828.784
2005/07/11,820.345,833.453,844.735,1459941.0,675289984.0,822.785
2005/07/12,815.828,817.76,848.017,2769454.0,1340868736.0,846.069
2005/07/13,835.983,844.08,848.448,1429731.0,674602816.0,841.36
2005/07/14,835.417,838.017,851.001,1994097.0,947497472.0,843.456
2005/07/15,831.474,843.617,849.112,1745470.0,758561984.0,834.641
2005/07/18,822.902,831.479,833.533,1171771.0,491843200.0,825.252
2005/07/19,817.227,824.134,828.508,1208875.0,529807712.0,824.258
2005/07/20,821.891,824.193,834.996,1493843.0,700476096.0,834.371
2005/07/21,829.295,834.389,838.541,1916777.0,895730816.0,838.172
2005/07/22,833.946,840.594,854.557,4492189.0,2054952832.0,848.181
2005/07/25,844.129,847.425,850.351,1762739.0,817105472.0,846.382
2005/07/26,847.37,847.37,867.912,3889957.0,1791007616.0,865.043
2005/07/27,864.13,864.713,879.972,3394946.0,1512465152.0,879.796
2005/07/28,874.271,880.437,882.355,2289942.0,1009314880.0,876.808
2005/07/29,871.099,875.643,877.978,2719075.0,1039399680.0,874.572
2005/08/01,874.291,874.436,882.512,2260176.0,852300160.0,879.013
2005/08/02,877.855,880.162,886.828,2278685.0,956601664.0,886.828
2005/08/03,885.638,887.884,897.288,4120756.0,1598675840.0,889.612
2005/08/04,885.485,888.384,891.074,2408397.0,919577408.0,888.363
2005/08/05,887.951,888.042,902.783,3002663.0,1232793600.0,902.528
2005/08/08,904.622,904.622,915.299,3495556.0,1460743936.0,910.802
2005/08/09,906.233,909.752,918.703,3148979.0,1321093632.0,918.431
2005/08/10,911.368,918.619,922.402,3314174.0,1450755200.0,922.256
2005/08/11,922.094,922.417,929.672,4183937.0,1862329728.0,928.33
2005/08/12,920.607,932.672,937.079,5420936.0,2395080448.0,924.959
2005/08/15,923.522,924.837,935.852,3053744.0,1344877440.0,935.365
2005/08/16,923.694,935.951,937.878,3255112.0,1440346624.0,927.191
2005/08/17,917.322,929.403,934.256,3715710.0,1671275008.0,933.735
2005/08/18,921.857,953.427,957.875,8942805.0,4032994816.0,923.163
2005/08/19,915.192,920.985,931.282,4669409.0,2056349568.0,925.541
2005/08/22,921.6,928.603,932.957,5236238.0,2432619264.0,928.478
2005/08/23,914.994,929.591,929.656,3316026.0,1524039936.0,922.434
2005/08/24,924.329,924.329,937.608,3658603.0,1681884672.0,931.885
2005/08/25,920.185,932.789,935.12,4212991.0,1883791488.0,929.107
2005/08/26,920.568,928.673,928.673,3497599.0,1537011328.0,925.005
2005/08/29,906.588,926.141,926.141,3262485.0,1439892608.0,909.428
2005/08/30,903.486,906.954,913.189,2362840.0,1017139648.0,907.339
2005/08/31,904.645,906.945,921.593,2582521.0,1114075264.0,920.844
2005/09/01,917.699,921.362,934.208,4231858.0,1825089280.0,933.306
2005/09/02,926.117,934.303,934.536,2980682.0,1306772992.0,932.882
2005/09/05,927.197,932.315,935.806,3078483.0,1332286336.0,934.96
2005/09/06,915.266,935.207,935.826,3648734.0,1621328000.0,916.971
2005/09/07,914.341,915.415,930.241,3480679.0,1584667008.0,929.502
2005/09/08,927.218,931.551,937.15,3920435.0,1868982016.0,933.229
2005/09/09,927.839,933.746,940.172,2910767.0,1358569216.0,932.487
2005/09/12,928.803,932.415,936.923,2122650.0,954000128.0,932.533
2005/09/13,929.72,932.569,942.178,2842179.0,1317018368.0,941.897
2005/09/14,939.603,943.462,947.161,3309831.0,1525995776.0,947.074
2005/09/15,944.165,947.558,951.878,3103805.0,1482121728.0,951.542
2005/09/16,945.041,951.942,952.562,2454383.0,1154226432.0,947.822
2005/09/19,946.934,949.336,957.47,2840871.0,1452945280.0,957.255
2005/09/20,947.928,958.478,960.23,4267896.0,1973498752.0,951.673
