date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/01/08,1804.87,1813.62,1861.97,37053976.0,28444112896.0,1856.62
2007/01/09,1853.2,1858.09,1933.18,35648460.0,28364687360.0,1932.28
2007/01/10,1915.94,1945.3,1963.98,34810268.0,28485627904.0,1963.63
2007/01/11,1922.62,1964.65,1977.7,31261786.0,26144991232.0,1927.22
2007/01/12,1862.3,1911.51,1941.03,29073152.0,23832066048.0,1876.14
2007/01/15,1872.08,1872.08,1963.53,26504608.0,22186985472.0,1963.16
2007/01/16,1950.34,1989.22,2005.29,31053244.0,26997690368.0,1992.1
2007/01/17,1927.74,1997.81,2033.85,32812868.0,29260824576.0,1955.74
2007/01/18,1884.39,1942.99,1964.49,30934743.0,26914308480.0,1936.92
2007/01/19,1937.04,1937.04,1997.09,29118400.0,26004576256.0,1995.53
2007/01/22,2020.0,2020.0,2076.69,36297928.0,31017598976.0,2075.54
2007/01/23,2026.45,2095.22,2113.34,42660216.0,39411490816.0,2105.99
2007/01/24,2106.14,2111.71,2170.16,35859936.0,35259502592.0,2145.69
2007/01/25,2089.1,2124.17,2160.89,32834562.0,32373424000.0,2098.18
2007/01/26,2026.61,2066.51,2175.97,32670411.0,30861568640.0,2164.51
2007/01/29,2175.84,2181.87,2237.88,37522300.0,34670456832.0,2222.41
2007/01/30,2178.02,2232.2,2251.57,34654404.0,31350824960.0,2197.19
2007/01/31,2034.52,2186.42,2193.83,36514280.0,31288976384.0,2052.91
2007/02/01,1982.41,2021.44,2064.52,27000412.0,23725516800.0,2051.66
2007/02/02,1945.48,2052.95,2056.12,25412576.0,22792347648.0,1954.97
2007/02/05,1900.44,1943.06,1956.56,20245250.0,17918375936.0,1906.03
2007/02/06,1825.53,1901.58,1955.28,33062004.0,29123076096.0,1954.16
2007/02/07,1964.26,1964.26,2029.86,31967916.0,30187390976.0,2001.37
2007/02/08,1980.32,2006.75,2031.49,22553853.0,21183945024.0,2023.18
2007/02/09,1987.15,2024.9,2027.61,21407546.0,19956850688.0,2003.32
2007/02/12,2001.37,2004.22,2082.53,21885745.0,20853858112.0,2082.4
2007/02/13,2081.72,2091.3,2114.51,19728032.0,18559698944.0,2108.63
