date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/01/04,100.01,100.01,100.2,1370.0,137108.0,100.2
2007/01/05,100.12,100.12,100.12,1744.0,174609.28,100.12
2007/01/08,100.12,100.12,100.12,40.0,4004.8,100.12
2007/01/09,100.06,100.13,100.14,3160.0,316326.82,100.06
2007/01/10,100.01,100.06,100.06,40.0,4000.4,100.01
2007/01/11,100.01,100.01,100.16,1071.0,107156.72,100.03
2007/01/12,100.0,100.03,100.16,1029.0,103014.44,100.16
2007/01/15,100.05,100.05,100.34,461.0,46169.56,100.2
2007/01/16,100.08,100.2,100.33,4980.0,499141.32,100.25
2007/01/17,100.19,100.25,100.25,3730.0,373905.7,100.25
2007/01/18,100.11,100.11,100.3,2430.0,243665.21,100.29
2007/01/19,100.2,100.2,100.25,1970.0,197420.7,100.21
2007/01/22,100.21,100.21,100.6,1750.0,175658.34,100.58
2007/01/23,100.2,100.58,100.58,1510.0,151387.0,100.2
2007/01/24,100.12,100.2,100.2,1280.0,128255.2,100.2
2007/01/25,100.2,100.2,100.35,1400.0,140321.5,100.35
2007/01/26,100.1,100.26,100.26,2300.0,230432.5,100.1
2007/01/29,100.09,100.12,100.46,1300.0,130232.8,100.46
2007/01/30,100.2,100.46,100.46,1264.0,126820.36,100.4
2007/01/31,100.36,100.36,100.4,1860.0,186707.7,100.38
2007/02/01,100.37,100.37,100.47,3900.0,391639.28,100.46
2007/02/02,100.25,100.46,100.46,2182.0,219007.51,100.25
2007/02/05,100.2,100.2,100.4,1170.0,117345.0,100.4
2007/02/06,100.18,100.4,100.4,1576.0,158108.08,100.18
2007/02/07,100.09,100.18,100.3,620.0,62177.6,100.3
2007/02/09,100.18,100.3,100.3,190.0,19036.2,100.18
2007/02/12,100.16,100.18,100.4,250.0,25052.0,100.16
2007/02/13,100.0,100.15,100.27,3490.0,349338.0,100.0
2007/02/14,100.25,100.25,100.45,30.0,3011.5,100.45
2007/02/15,100.4,100.5,100.5,180.0,18074.0,100.4
2007/02/16,100.46,100.46,100.6,2680.0,269414.91,100.48
2007/02/26,100.18,100.48,100.48,120.0,12036.6,100.18
2007/02/27,100.11,100.11,100.17,1320.0,132177.5,100.17
2007/02/28,100.1,100.1,100.29,1360.0,136289.3,100.2
2007/03/01,100.15,100.15,100.29,1500.0,150267.41,100.2
2007/03/02,100.2,100.2,100.36,860.0,86282.2,100.36
2007/03/05,100.21,100.37,100.37,2030.0,203588.5,100.25
2007/03/06,100.25,100.25,100.4,340.0,34134.9,100.39
2007/03/07,100.38,100.39,100.39,130.0,13049.4,100.38
2007/03/08,100.35,100.36,100.37,1310.0,131472.29,100.37
2007/03/09,100.3,100.37,100.37,280.0,28096.0,100.35
2007/03/12,100.35,100.38,100.38,460.0,46173.0,100.35
2007/03/13,100.3,100.35,100.36,1960.0,196660.7,100.36
2007/03/14,100.0,100.29,100.29,3440.0,344342.09,100.25
2007/03/15,100.25,100.25,100.3,140.0,14042.0,100.3
2007/03/16,100.01,100.3,100.3,810.0,81014.8,100.01
2007/03/19,100.0,100.0,100.38,2891.0,289352.19,100.0
2007/03/20,100.0,100.0,100.26,910.0,91035.0,100.05
2007/03/21,100.05,100.05,100.26,1589.0,159126.3,100.11
2007/03/22,100.11,100.11,100.12,980.0,98112.2,100.12
2007/03/23,100.1,100.1,100.2,700.0,70080.0,100.2
2007/03/26,100.06,100.29,100.29,450.0,45101.9,100.25
2007/03/27,100.2,100.2,100.3,1620.0,162366.0,100.3
2007/03/28,100.2,100.3,100.3,1639.0,164310.73,100.26
2007/03/29,100.21,100.26,100.29,1860.0,186492.4,100.25
2007/03/30,100.22,100.48,100.48,1830.0,183496.91,100.22
2007/04/02,100.19,100.2,100.2,709.0,71041.71,100.19
2007/04/03,100.1,100.1,100.13,880.0,88110.0,100.13
2007/04/04,100.13,100.13,100.2,270.0,27050.5,100.2
2007/04/05,100.17,100.18,100.18,4300.0,430732.9,100.17
2007/04/06,100.17,100.17,100.18,300.0,30054.0,100.18
2007/04/09,100.08,100.08,100.13,610.0,61054.8,100.13
2007/04/10,100.1,100.13,100.13,100.0,10010.0,100.1
2007/04/11,100.1,100.2,100.2,860.0,86117.5,100.15
2007/04/12,100.08,100.09,100.3,540.0,54052.4,100.13
2007/04/16,100.01,100.01,100.33,4260.0,426907.91,100.28
2007/04/17,100.1,100.2,100.2,610.0,61121.0,100.1
2007/04/18,100.01,100.05,100.05,370.0,37011.4,100.03
2007/04/19,100.03,100.03,100.05,860.0,86027.8,100.03
2007/04/20,100.03,100.03,100.1,210.0,21009.1,100.1
2007/04/23,99.75,100.1,100.1,40.0,3990.0,99.75
2007/04/24,100.03,100.08,100.08,2580.0,258172.5,100.04
2007/04/25,100.0,100.06,100.1,2180.0,218146.41,100.0
2007/04/26,100.0,100.0,100.0,100.0,10000.0,100.0
2007/04/27,99.0,99.0,100.15,370.0,37020.1,100.01
2007/04/30,100.01,100.01,100.3,890.0,89155.2,100.15
2007/05/08,100.01,100.03,100.03,4340.0,434079.41,100.03
2007/05/09,100.01,100.03,100.13,320.0,32038.8,100.13
2007/05/10,100.13,100.13,100.15,360.0,36054.0,100.15
2007/05/11,100.1,100.1,100.15,1384.0,138566.59,100.15
2007/05/14,100.11,100.11,100.15,447.0,44765.85,100.15
2007/05/15,100.16,100.16,100.2,720.0,72126.4,100.16
2007/05/16,100.16,100.16,100.32,930.0,93218.4,100.2
2007/05/17,100.1,100.34,100.34,220.0,22026.4,100.11
2007/05/18,100.1,100.1,100.2,200.0,20035.0,100.2
2007/05/21,100.0,100.0,100.0,400.0,40000.0,100.0
2007/05/22,99.8,100.37,100.37,960.0,95864.29,100.1
2007/05/23,100.0,100.0,100.1,1000.0,100070.0,100.1
2007/05/24,100.1,100.1,100.1,100.0,10010.0,100.1
2007/05/25,100.12,100.28,100.3,1620.0,162429.3,100.3
2007/05/28,100.0,100.0,100.35,1090.0,109124.7,100.12
2007/05/29,100.0,100.0,100.25,4660.0,466682.09,100.25
2007/05/30,100.2,100.25,100.3,710.0,71151.0,100.3
2007/05/31,100.21,100.31,100.31,1400.0,140387.0,100.22
2007/06/01,100.07,100.1,100.5,2320.0,232413.0,100.1
2007/06/04,99.46,99.46,100.1,620.0,61966.0,100.1
2007/06/05,100.0,100.0,100.01,2080.0,208013.41,100.01
2007/06/06,99.99,100.0,100.29,1670.0,166996.3,100.29
2007/06/07,99.6,99.6,100.2,70.0,7008.0,100.2
2007/06/08,99.91,99.92,100.19,60.0,5998.0,99.96
2007/06/11,99.96,99.96,100.0,1650.0,164996.0,100.0
2007/06/12,99.88,100.01,100.01,610.0,60999.8,100.0
2007/06/13,99.95,99.95,100.0,780.0,77989.84,100.0
2007/06/14,99.97,100.0,100.0,590.0,58983.2,99.97
2007/06/15,99.8,99.9,100.0,4110.0,410213.0,99.93
2007/06/18,99.86,99.86,100.08,200.0,20000.0,99.87
2007/06/19,99.7,99.8,100.09,360.0,35920.3,99.76
2007/06/20,99.7,99.7,100.0,1060.0,105823.1,99.76
2007/06/21,99.61,99.61,100.0,70.0,6988.3,100.0
2007/06/22,99.67,99.99,100.0,3952.0,394380.77,99.69
2007/06/25,99.65,99.65,100.0,1370.0,136953.8,100.0
2007/06/26,99.67,99.67,99.9,480.0,47901.9,99.9
2007/06/27,99.68,99.69,99.99,330.0,32902.0,99.68
2007/06/28,99.6,99.6,99.6,150.0,14940.0,99.6
2007/06/29,99.62,99.62,99.78,150.0,14959.0,99.78
2007/07/02,99.61,100.0,100.0,170.0,16976.9,99.62
2007/07/03,99.6,99.6,99.61,120.0,11953.0,99.61
2007/07/05,99.61,99.95,99.95,420.0,41894.2,99.61
2007/07/06,99.52,99.87,99.87,210.0,20918.8,99.52
2007/07/09,99.52,99.52,99.65,640.0,63774.1,99.61
2007/07/10,99.61,99.61,99.61,140.0,13945.4,99.61
2007/07/11,99.26,99.89,99.89,1669.0,166283.14,99.7
2007/07/12,99.5,99.65,99.65,230.0,22909.5,99.6
2007/07/13,99.59,99.6,99.6,129.0,12847.11,99.59
2007/07/16,99.59,99.59,99.64,90.0,8966.6,99.62
2007/07/18,99.6,99.62,99.62,100.0,9960.0,99.6
2007/07/19,99.51,99.51,99.52,801.0,79709.61,99.51
2007/07/23,99.0,99.3,99.45,1285.0,127286.9,99.45
2007/07/24,99.1,99.45,99.45,100.0,9910.5,99.1
2007/07/25,98.9,98.9,99.48,3210.0,319249.59,99.48
2007/07/26,99.01,99.01,99.5,130.0,12886.0,99.5
2007/07/27,99.5,99.5,99.5,688.0,68456.0,99.5
2007/07/30,99.18,99.5,99.5,820.0,81352.9,99.5
2007/07/31,99.2,99.5,99.5,1100.0,109120.0,99.2
2007/08/01,99.2,99.2,99.5,1550.0,153902.21,99.26
2007/08/02,99.18,99.2,99.49,750.0,74590.2,99.47
2007/08/03,99.47,99.47,99.5,510.0,50745.0,99.5
2007/08/06,99.3,99.5,99.5,70.0,6951.0,99.3
2007/08/07,99.3,99.3,99.3,120.0,11916.0,99.3
2007/08/08,99.11,99.4,99.4,1660.0,164782.79,99.11
2007/08/09,99.11,99.11,99.3,210.0,20841.6,99.3
2007/08/10,99.2,99.37,99.4,1439.0,142824.6,99.2
2007/08/13,99.05,99.05,99.48,1060.0,105132.8,99.38
2007/08/14,99.17,99.38,99.38,150.0,14875.6,99.17
2007/08/15,99.17,99.17,99.3,170.0,16870.6,99.21
2007/08/16,99.1,99.4,99.5,400.0,39715.2,99.5
2007/08/17,99.15,99.49,99.49,110.0,10911.04,99.19
2007/08/20,99.19,99.19,99.49,250.0,24871.75,99.49
2007/08/21,99.4,99.4,99.48,2560.0,254497.8,99.41
2007/08/22,98.91,99.26,99.26,4420.0,438359.7,99.16
2007/08/23,99.49,99.5,99.5,184.0,18307.16,99.49
2007/08/24,99.2,99.2,99.3,284.0,28192.8,99.3
2007/08/27,99.3,99.3,99.45,1510.0,149993.5,99.3
2007/08/28,99.39,99.39,99.46,1120.0,111349.3,99.45
2007/08/29,99.31,99.45,99.45,210.0,20860.9,99.39
2007/08/30,99.39,99.39,99.39,200.0,19878.0,99.39
2007/08/31,99.39,99.49,99.49,380.0,37775.2,99.47
2007/09/03,99.3,99.3,99.3,1520.0,150936.0,99.3
2007/09/04,99.09,99.11,99.3,1750.0,173498.0,99.12
2007/09/05,99.08,99.13,99.27,990.0,98183.8,99.15
2007/09/06,99.09,99.09,99.19,2580.0,255826.9,99.19
2007/09/10,99.0,99.02,99.22,1490.0,147814.2,99.22
2007/09/11,99.28,99.28,99.29,50.0,4964.4,99.29
2007/09/12,98.3,98.3,99.15,1562.0,154313.66,99.15
2007/09/13,99.18,99.3,99.3,350.0,34734.2,99.18
2007/09/14,99.1,99.17,99.18,1130.0,112031.4,99.18
2007/09/17,99.0,99.24,99.24,1490.0,147596.59,99.1
2007/09/18,98.8,99.1,99.1,630.0,62346.5,98.9
2007/09/19,98.9,98.9,99.24,1200.0,119055.0,99.12
2007/09/20,99.06,99.12,99.17,540.0,53525.4,99.06
2007/09/21,99.06,99.07,99.07,140.0,13868.7,99.06
2007/09/24,99.06,99.06,99.19,70.0,6943.3,99.19
2007/09/25,98.81,99.08,99.16,743.0,73581.45,98.95
2007/09/26,98.98,99.06,99.15,180.0,17823.4,99.1
2007/09/27,99.0,99.09,99.16,1550.0,153687.3,99.16
2007/09/28,99.02,99.02,99.42,3421.0,339899.21,99.41
2007/10/08,99.01,99.41,99.41,300.0,29705.0,99.01
2007/10/09,99.0,99.02,99.02,441.0,43663.0,99.02
2007/10/10,99.02,99.02,99.15,100.0,9915.0,99.15
2007/10/11,99.1,99.1,99.25,2059.0,204145.46,99.21
2007/10/12,99.2,99.21,99.22,2650.0,262896.68,99.2
2007/10/15,98.93,98.93,98.93,30.0,2967.9,98.93
2007/10/16,98.9,99.0,99.09,680.0,67282.8,99.09
2007/10/17,98.95,98.95,99.2,740.0,73370.9,99.17
2007/10/18,99.2,99.2,99.41,3450.0,342763.51,99.4
2007/10/19,99.19,99.4,99.4,100.0,9919.0,99.19
2007/10/22,98.8,99.19,99.19,1310.0,129673.1,98.8
2007/10/23,99.0,99.8,99.9,4650.0,463552.81,99.2
2007/10/24,98.91,98.92,98.92,300.0,29674.0,98.91
2007/10/25,98.93,98.93,99.2,610.0,60412.3,98.94
2007/10/26,98.8,98.94,99.2,2480.0,245228.29,98.85
2007/10/29,98.72,98.85,99.1,150.0,14851.1,98.72
2007/10/30,98.75,99.09,99.09,570.0,56393.5,98.76
2007/10/31,98.87,98.87,99.1,1171.0,116033.79,99.1
2007/11/01,99.3,99.3,99.69,11820.0,1176613.97,99.56
2007/11/02,99.1,99.56,99.56,521.0,51863.7,99.1
2007/11/05,98.79,99.8,99.8,3960.0,394797.32,99.68
2007/11/06,99.34,99.41,100.0,2850.0,284272.91,99.94
2007/11/07,99.89,99.94,99.94,1560.0,155841.3,99.9
2007/11/08,99.51,99.51,99.52,450.0,44781.0,99.51
2007/11/09,99.58,99.62,99.86,360.0,35874.4,99.58
2007/11/12,99.52,99.53,99.56,940.0,93564.9,99.56
2007/11/13,99.45,99.56,99.56,1310.0,130283.6,99.46
2007/11/14,99.21,99.21,99.76,2250.0,223771.3,99.76
2007/11/15,99.76,99.76,100.0,17180.0,1717329.63,99.99
2007/11/20,99.9,99.9,99.95,1290.0,128901.5,99.95
2007/11/22,98.92,98.92,99.4,140.0,13858.4,99.4
2007/11/23,99.4,99.4,99.88,100.0,9969.0,99.88
2007/11/26,99.01,99.01,99.9,1860.0,185636.0,99.9
2007/11/27,99.9,99.9,99.9,10.0,999.0,99.9
2007/11/28,99.51,99.78,99.89,3251.0,323607.71,99.52
2007/11/29,99.06,99.06,99.98,2434.0,243061.97,99.98
2007/11/30,99.51,99.51,99.69,120.0,11961.0,99.69
2007/12/03,99.2,99.2,100.1,4480.0,446193.69,99.62
2007/12/04,99.9,99.9,99.9,470.0,46953.0,99.9
2007/12/05,99.89,99.9,99.9,130.0,12986.5,99.89
2007/12/06,99.6,99.6,99.66,400.0,39859.9,99.65
2007/12/07,99.65,99.65,99.66,320.0,31890.7,99.66
2007/12/10,99.37,99.66,99.66,1.0,99.37,99.37
2007/12/11,99.8,99.8,99.85,670.0,66895.5,99.85
2007/12/12,99.46,99.6,99.6,2010.0,200011.9,99.49
2007/12/13,99.0,99.01,99.75,5179.0,514770.43,99.55
2007/12/14,99.51,99.74,99.86,2432.0,242690.59,99.85
2007/12/17,99.61,99.9,99.9,1020.0,101805.9,99.86
2007/12/18,99.0,99.14,99.5,8670.0,860827.3,99.48
2007/12/19,99.42,99.49,99.6,1415.0,140828.8,99.42
2007/12/20,99.22,99.53,99.55,1570.0,156080.6,99.55
2007/12/21,99.41,99.5,99.6,9036.0,898833.01,99.57
2007/12/24,99.33,99.33,99.76,2010.0,200001.7,99.76
2007/12/25,99.5,99.7,99.7,610.0,60715.0,99.5
2007/12/26,99.53,99.53,99.83,5700.0,568168.63,99.72
2007/12/27,99.65,99.7,99.72,270.0,26915.6,99.65
2007/12/28,99.6,99.7,99.8,2210.0,220245.2,99.78
2008/01/02,99.62,99.78,99.78,200.0,19925.0,99.62
2008/01/03,99.25,99.3,99.58,1456.0,144770.78,99.39
2008/01/04,99.42,99.43,99.43,400.0,39769.0,99.42
